,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Monthly/Total_Charges,TotalCharges/tenure,Churn
11,1.0,0,0.0,0.0,16,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,18.95,326.8,0.05798653610771114,20.425,0.0
12,1.0,0,1.0,0.0,58,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,100.35,5681.1,0.017663832708454348,97.95,0.0
13,1.0,0,0.0,0.0,49,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,103.7,5036.3,0.02059051287651649,102.78163265306122,1.0
14,1.0,0,0.0,0.0,25,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,105.5,2686.05,0.03927700526795853,107.44200000000001,0.0
15,0.0,0,1.0,1.0,69,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,113.25,7895.15,0.014344249317619046,114.42246376811593,0.0
16,0.0,0,0.0,0.0,52,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,20.65,1022.95,0.020186714893201035,19.672115384615385,0.0
17,1.0,0,0.0,1.0,71,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,106.7,7382.25,0.01445358799823902,103.97535211267606,0.0
18,0.0,0,1.0,1.0,10,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,55.2,528.35,0.10447619948897512,52.835,1.0
19,0.0,0,0.0,0.0,21,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,90.05,1862.9,0.0483386118417521,88.70952380952382,0.0
20,1.0,1,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,39.65,39.65,1.0,39.65,1.0
21,1.0,0,1.0,0.0,12,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19.8,202.25,0.09789864029666255,16.854166666666668,0.0
22,1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.15,20.15,1.0,20.15,1.0
23,0.0,0,1.0,0.0,58,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,59.9,3505.1,0.017089384040398278,60.432758620689654,0.0
24,1.0,0,1.0,1.0,49,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,59.6,2970.3,0.020065313268020066,60.61836734693878,0.0
25,0.0,0,0.0,0.0,30,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.3,1530.6,0.036129622370312295,51.019999999999996,0.0
26,1.0,0,1.0,1.0,47,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,99.35,4749.15,0.02091953296905762,101.04574468085106,1.0
27,1.0,0,1.0,1.0,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.2,30.2,1.0,30.2,1.0
28,1.0,0,1.0,0.0,72,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,90.25,6369.45,0.014169198282426269,88.46458333333334,0.0
29,0.0,0,0.0,1.0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,64.7,1093.1,0.059189461165492646,64.3,1.0
30,0.0,1,1.0,0.0,71,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,96.35,6766.95,0.014238320070341882,95.30915492957746,0.0
31,1.0,1,1.0,0.0,2,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,95.5,181.65,0.5257363060831268,90.825,0.0
32,0.0,0,1.0,1.0,27,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,66.15,1874.45,0.03529035183653872,69.42407407407407,0.0
33,1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.2,20.2,1.0,20.2,0.0
34,1.0,1,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.25,45.25,1.0,45.25,0.0
35,0.0,0,1.0,1.0,72,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,99.9,7251.7,0.013776080091564738,100.71805555555555,0.0
36,1.0,0,0.0,0.0,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,69.7,316.9,0.21994319974755447,63.379999999999995,1.0
37,0.0,0,0.0,0.0,46,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,74.8,3548.3,0.021080517430882392,77.13695652173914,0.0
38,1.0,0,0.0,0.0,34,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,106.35,3549.25,0.02996407691765866,104.38970588235294,1.0
39,0.0,0,0.0,0.0,11,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,97.85,1105.4,0.08851999276280079,100.4909090909091,1.0
40,1.0,0,1.0,1.0,10,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,49.55,475.7,0.10416228715577044,47.57,0.0
41,0.0,0,1.0,1.0,70,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,69.2,4872.35,0.014202592178312313,69.605,0.0
42,0.0,0,1.0,1.0,17,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,20.75,418.25,0.049611476389719064,24.602941176470587,0.0
43,0.0,0,0.0,0.0,63,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,79.85,4861.45,0.016425140647337726,77.16587301587302,0.0
44,0.0,0,1.0,0.0,13,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,76.2,981.45,0.07764022619593458,75.49615384615385,0.0
45,0.0,0,0.0,0.0,49,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,84.5,3906.7,0.02162950828064607,79.72857142857143,0.0
46,1.0,0,0.0,0.0,2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.25,97.0,0.5077319587628866,48.5,0.0
47,0.0,0,0.0,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,80.65,144.15,0.5594866458550122,72.075,1.0
48,1.0,0,0.0,0.0,52,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,79.75,4217.8,0.01890796149651477,81.11153846153846,0.0
49,0.0,0,1.0,1.0,69,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,64.15,4254.1,0.01507957029689006,61.6536231884058,0.0
50,0.0,1,0.0,0.0,43,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,90.25,3838.75,0.023510257245197005,89.27325581395348,0.0
51,0.0,0,0.0,0.0,15,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.1,1426.4,0.06947560291643297,95.09333333333333,1.0
52,0.0,1,1.0,0.0,25,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,69.5,1752.65,0.03965423786837075,70.10600000000001,0.0
53,0.0,1,1.0,0.0,8,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.65,633.3,0.12734880783199118,79.1625,1.0
54,0.0,1,1.0,1.0,60,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,74.85,4456.35,0.016796257026490288,74.27250000000001,0.0
55,1.0,1,0.0,0.0,18,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,95.45,1752.55,0.054463496048614876,97.36388888888888,1.0
56,0.0,0,1.0,1.0,63,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,99.65,6311.2,0.015789390290277604,100.17777777777778,0.0
57,1.0,1,1.0,1.0,66,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,108.45,7076.35,0.015325697570074967,107.21742424242424,0.0
58,0.0,0,1.0,1.0,34,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,24.95,894.3,0.02789891535278989,26.302941176470586,0.0
59,0.0,0,0.0,0.0,72,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,107.5,7853.7,0.013687815933891033,109.07916666666667,0.0
60,0.0,0,1.0,0.0,47,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,100.5,4707.1,0.021350725499776933,100.15106382978725,0.0
61,1.0,0,0.0,0.0,60,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,89.9,5450.7,0.016493294439246336,90.845,0.0
62,1.0,0,1.0,0.0,72,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,42.1,2962.0,0.014213369345037138,41.138888888888886,0.0
63,0.0,0,1.0,1.0,18,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,54.4,957.1,0.05683836589698046,53.172222222222224,0.0
64,0.0,0,0.0,0.0,9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,94.4,857.25,0.11011956838728493,95.25,1.0
65,0.0,0,0.0,0.0,3,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0,75.3,244.1,0.308480131093814,81.36666666666666,0.0
66,1.0,0,1.0,0.0,47,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,78.9,3650.35,0.02161436574575041,77.66702127659575,0.0
67,0.0,0,0.0,0.0,31,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,79.2,2497.2,0.03171552138395003,80.55483870967741,0.0
68,0.0,0,1.0,1.0,50,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,20.15,930.9,0.021645719196476527,18.618,0.0
69,1.0,0,0.0,0.0,10,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,79.85,887.35,0.08998704006310924,88.735,0.0
70,1.0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,49.05,49.05,1.0,49.05,0.0
71,0.0,0,1.0,1.0,52,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.4,1090.65,0.018704442305047447,20.974038461538463,0.0
72,1.0,1,1.0,1.0,64,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,111.6,7099.0,0.01572052401746725,110.921875,0.0
73,1.0,0,1.0,1.0,62,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,24.25,1424.6,0.017022322055313774,22.97741935483871,0.0
74,0.0,0,0.0,1.0,3,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,64.5,177.4,0.36358511837655016,59.13333333333333,0.0
75,0.0,1,0.0,0.0,56,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,110.5,6139.5,0.017998208323153353,109.63392857142857,0.0
76,0.0,0,0.0,0.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,55.65,2688.85,0.02069658032244268,58.45326086956521,0.0
77,0.0,0,1.0,1.0,8,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.65,482.25,0.1133229652669777,60.28125,0.0
78,1.0,1,0.0,0.0,30,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,74.75,2111.3,0.03540472694548382,70.37666666666668,0.0
79,0.0,0,1.0,1.0,45,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.9,1216.6,0.021288837744533946,27.035555555555554,0.0
80,0.0,0,0.0,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,79.35,79.35,1.0,79.35,1.0
81,0.0,0,1.0,1.0,11,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,50.55,565.35,0.08941363756964711,51.39545454545455,0.0
82,0.0,0,1.0,0.0,7,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,75.15,496.9,0.1512376735761723,70.98571428571428,1.0
83,0.0,0,0.0,0.0,42,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,103.8,4327.5,0.023986135181975735,103.03571428571429,0.0
84,0.0,0,1.0,0.0,49,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,20.15,973.35,0.020701700313350797,19.864285714285714,0.0
85,1.0,0,0.0,0.0,9,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,99.3,918.75,0.10808163265306123,102.08333333333333,0.0
86,0.0,0,1.0,0.0,35,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,62.15,2215.45,0.02805299149157056,63.29857142857142,0.0
87,0.0,0,1.0,1.0,48,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,20.65,1057.0,0.0195364238410596,22.020833333333332,0.0
88,0.0,0,1.0,1.0,46,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,19.95,927.1,0.02151871427030525,20.15434782608696,0.0
89,1.0,0,1.0,0.0,29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,33.75,1009.25,0.03344067376764925,34.80172413793103,0.0
90,1.0,0,1.0,1.0,30,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,82.05,2570.2,0.03192358571317407,85.67333333333333,0.0
91,1.0,1,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,74.7,74.7,1.0,74.7,0.0
92,1.0,0,1.0,1.0,66,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,84.0,5714.25,0.014700091875574223,86.57954545454545,0.0
93,0.0,0,0.0,0.0,65,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,111.05,7107.0,0.0156254397073308,109.33846153846154,0.0
94,1.0,0,0.0,0.0,72,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,100.9,7459.05,0.013527191800564416,103.59791666666666,0.0
95,0.0,0,0.0,0.0,12,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,78.95,927.35,0.08513506227422225,77.27916666666667,1.0
96,1.0,0,1.0,1.0,71,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,66.85,4748.7,0.014077537010129088,66.8830985915493,0.0
97,1.0,0,0.0,0.0,5,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,21.05,113.85,0.18489240228370665,22.77,1.0
98,1.0,0,0.0,0.0,52,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,21.0,1107.2,0.018966763005780346,21.292307692307695,0.0
99,0.0,1,1.0,0.0,25,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,98.5,2514.5,0.03917279777291708,100.58,1.0
100,1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.2,20.2,1.0,20.2,0.0
101,0.0,0,1.0,1.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.45,19.45,1.0,19.45,0.0
102,1.0,0,0.0,0.0,38,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,95.0,3605.6,0.02634790326159308,94.88421052631578,0.0
103,0.0,1,1.0,0.0,66,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,45.55,3027.25,0.015046659509455777,45.86742424242424,0.0
104,1.0,0,1.0,0.0,68,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,110.0,7611.85,0.014451151822487305,111.93897058823529,1.0
105,1.0,0,0.0,0.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.3,100.2,0.24251497005988024,20.04,0.0
106,0.0,0,1.0,1.0,72,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,104.15,7303.05,0.014261164855779435,101.43125,0.0
107,0.0,0,0.0,0.0,32,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,30.15,927.65,0.03250148224006899,28.9890625,0.0
108,1.0,0,0.0,0.0,43,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,94.35,3921.3,0.024060898171524746,91.19302325581396,0.0
109,1.0,0,1.0,1.0,72,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,19.4,1363.25,0.014230698697964422,18.93402777777778,0.0
110,1.0,0,1.0,0.0,55,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,96.75,5238.9,0.018467617247895553,95.25272727272727,1.0
111,0.0,0,0.0,0.0,52,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,57.95,3042.25,0.019048401676390832,58.50480769230769,0.0
112,0.0,0,0.0,0.0,43,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,91.65,3954.1,0.023178472977415848,91.95581395348837,0.0
113,0.0,1,1.0,0.0,37,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,76.5,2868.15,0.026672245175461535,77.51756756756757,1.0
114,0.0,0,1.0,1.0,64,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,54.6,3423.5,0.015948590623630788,53.4921875,0.0
115,1.0,0,1.0,1.0,3,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,89.85,248.4,0.3617149758454106,82.8,0.0
116,0.0,0,0.0,0.0,36,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.05,1126.35,0.027566919696364364,31.287499999999998,0.0
117,0.0,0,1.0,1.0,10,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,100.25,1064.65,0.09416240078899168,106.465,1.0
118,0.0,0,0.0,0.0,41,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,20.65,835.15,0.024726097108303896,20.36951219512195,0.0
119,1.0,0,1.0,1.0,27,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,85.2,2151.6,0.03959843837144451,79.68888888888888,0.0
120,0.0,0,1.0,1.0,56,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,99.8,5515.45,0.018094625098586697,98.49017857142857,0.0
121,0.0,0,0.0,0.0,6,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.7,112.75,0.1835920177383592,18.791666666666668,0.0
122,1.0,0,0.0,0.0,3,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,74.4,229.55,0.3241123938139839,76.51666666666667,1.0
123,0.0,0,1.0,1.0,7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.7,350.35,0.14471243042671614,50.050000000000004,0.0
124,0.0,0,1.0,1.0,4,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,20.85,62.9,0.33147853736089034,15.725,0.0
125,1.0,0,0.0,0.0,33,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,88.95,3027.65,0.02937922150843063,91.7469696969697,0.0
126,0.0,1,0.0,0.0,27,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,78.05,2135.5,0.03654881760711777,79.0925925925926,1.0
127,1.0,0,1.0,0.0,72,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,23.55,1723.95,0.01366048899330027,23.94375,0.0
128,1.0,0,0.0,0.0,1,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,19.75,19.75,1.0,19.75,0.0
129,1.0,1,0.0,0.0,71,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,56.45,3985.35,0.014164377030875582,56.131690140845066,0.0
130,0.0,0,0.0,0.0,13,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,85.95,1215.65,0.0707029161354008,93.51153846153846,0.0
131,0.0,0,1.0,1.0,25,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,58.6,1502.65,0.038997770605264034,60.106,1.0
132,1.0,0,0.0,0.0,67,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,50.55,3260.1,0.015505659335603201,48.65820895522388,0.0
133,1.0,0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,35.45,35.45,1.0,35.45,1.0
134,1.0,0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,44.35,81.25,0.5458461538461539,40.625,1.0
135,0.0,0,0.0,0.0,43,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,25.7,1188.2,0.02162935532738596,27.632558139534886,0.0
136,0.0,0,0.0,0.0,23,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,1778.5,0.04217036828788305,77.32608695652173,0.0
137,0.0,0,1.0,1.0,64,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,20.2,1277.75,0.01580903932694189,19.96484375,0.0
138,1.0,0,0.0,1.0,57,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,19.6,1170.55,0.01674426551621033,20.5359649122807,0.0
139,0.0,1,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,70.45,70.45,1.0,70.45,1.0
140,0.0,1,1.0,1.0,72,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,88.05,6425.65,0.013702893870659,89.24513888888889,0.0
141,0.0,0,0.0,0.0,8,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,71.15,563.65,0.12623081699636302,70.45625,1.0
142,0.0,0,1.0,0.0,61,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,101.05,5971.25,0.01692275486707138,97.88934426229508,0.0
143,1.0,0,0.0,0.0,64,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,84.3,5289.05,0.015938590105973663,82.64140625,0.0
144,1.0,1,1.0,0.0,71,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,23.95,1756.2,0.013637398929506888,24.735211267605635,0.0
